a_year,a_ref,v_id,c_id,c_class,c_sex,c_agegroup,c_sever,c_loc,c_move,c_school,c_pcv,c_pedinj,c_vtype
2017,1,1,1,Driver,Male,45-54,Slightly injured,,,Other,,,Car
2017,2,1,1,Driver,Male,55-64,Slightly injured,,,Other,,,Car
2017,3,0,1,Pedestrian,Male,65+,Seriously injured,In carriageway crossing elsewhere,In carriageway stationary - not crossing,Other,Not a bus or coach passenger,No,
2017,4,1,1,Driver,Male,65+,Slightly injured,,,Other,,,Car
2017,5,1,1,Driver,Male,35-44,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,5,2,2,Driver,Male,35-44,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,6,1,1,Driver,Male,55-64,Slightly injured,,,Other,,,Car
2017,6,1,2,Vehicle passenger - rear,Female,35-44,Slightly injured,,,Other,,,Car
2017,6,2,3,Driver,Male,65+,Slightly injured,,,Other,,,Car
2017,6,2,4,Vehicle passenger - front,Female,55-64,Slightly injured,,,Other,,,Car
2017,7,1,1,Vehicle passenger - front,Female,25-34,Slightly injured,,,Other,,,Car
2017,8,1,1,Driver,Male,17-24,Slightly injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,8,1,2,Vehicle passenger - front,Female,17-24,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,9,1,1,Driver,Male,17-24,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,10,2,1,Vehicle passenger - rear,Female,35-44,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,10,2,2,Vehicle passenger - rear,Male,Under 10,Slightly injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,10,2,3,Driver,Male,45-54,Slightly injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,10,2,4,Vehicle passenger - front,Male,10-16,Slightly injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,11,1,1,Driver,Male,65+,Slightly injured,,,Other,,,Car
2017,11,2,2,Driver,Female,35-44,Slightly injured,,,Other,,,Car
2017,11,2,3,Vehicle passenger - front,Male,65+,Slightly injured,,,Other,,,Car
2017,12,2,1,Driver,Female,25-34,Slightly injured,,,Other,,,Car
2017,13,1,1,Driver,Female,45-54,Slightly injured,,,Other,,,Car
2017,13,1,2,Vehicle passenger - front,Female,17-24,Slightly injured,,,Other,,,Car
2017,14,3,1,Driver,Female,55-64,Slightly injured,,,Other,,,Car
2017,15,2,1,Pedal cyclist,Female,25-34,Slightly injured,,,Other,,,Pedal cycle
2017,16,2,1,Driver,Female,65+,Slightly injured,,,Other,,,Car
2017,16,1,2,Motorcyclist,Male,55-64,Slightly injured,,,Other,,,Motorcycle (125cc and above)
2017,17,1,1,Driver,Male,45-54,Slightly injured,,,Other,,,Car
2017,17,2,2,Driver,Female,35-44,Slightly injured,,,Other,,,Car
2017,18,1,1,Driver,Female,25-34,Slightly injured,,,Other,,,Car
2017,18,2,2,Motorcyclist,Male,25-34,Slightly injured,,,Other,,,Motorcycle (under 125cc)
2017,19,1,1,Driver,Female,17-24,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,20,2,1,Vehicle passenger - front,Female,35-44,Slightly injured,,,Other,,,Car
2017,20,2,2,Vehicle passenger - rear,Female,10-16,Slightly injured,,,Other,,,Car
2017,20,2,3,Vehicle passenger - rear,Female,Under 10,Slightly injured,,,Other,,,Car
2017,20,2,4,Driver,Male,65+,Slightly injured,,,Other,,,Car
2017,21,2,1,Driver,Female,35-44,Slightly injured,,,Other,,,Car
2017,21,2,2,Vehicle passenger - front,Female,10-16,Slightly injured,,,Other,,,Car
2017,21,2,3,Vehicle passenger - rear,Female,17-24,Slightly injured,,,Other,,,Car
2017,22,2,1,Driver,Female,25-34,Slightly injured,,,Other,,,Car
2017,23,1,1,Vehicle passenger - front,Female,45-54,Slightly injured,,,Other,,,Goods 3.5 tonnes or less
2017,24,2,1,Vehicle passenger - front,Male,17-24,Slightly injured,,,Other,,,Car
2017,25,1,1,Driver,Female,65+,Slightly injured,,,Other,,,Car
2017,25,1,2,Vehicle passenger - front,Female,55-64,Slightly injured,,,Other,,,Car
2017,26,2,1,Driver,Male,17-24,Slightly injured,,,Other,,,Car
2017,27,1,1,Driver,Female,25-34,Slightly injured,,,Other,,,Car
2017,28,0,1,Pedestrian,Male,Under 10,Slightly injured,,,Other,,,
2017,29,1,1,Driver,Male,25-34,Slightly injured,,,Other,,,Car
2017,30,2,1,Driver,Male,35-44,Slightly injured,,,Other,,,Goods 3.5 tonnes or less
2017,31,2,1,Driver,Male,35-44,Slightly injured,,,Other,,,Car
2017,32,2,1,Driver,Male,65+,Slightly injured,,,Other,,,Car
2017,33,1,1,Driver,Female,55-64,Slightly injured,,,Other,,,Car - taxi (hackney)
2017,34,3,1,Driver,Female,35-44,Slightly injured,,,Other,,,Car
2017,35,1,1,Driver,Male,35-44,Slightly injured,,,Other,,,Goods 3.5 tonnes or less
2017,36,1,1,Driver,Female,45-54,Slightly injured,,,Other,,,Car
2017,37,2,1,Pedal cyclist,Male,45-54,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Pedal cycle
2017,38,2,1,Driver,Female,55-64,Slightly injured,,,Other,,,Car
2017,39,1,1,Driver,Male,65+,Slightly injured,,,Other,,,Car
2017,39,2,2,Driver,Female,35-44,Slightly injured,,,Other,,,Car
2017,40,1,1,Pedal cyclist,Male,35-44,Slightly injured,,,Other,,,Pedal cycle
2017,41,1,1,Driver,Female,55-64,Slightly injured,,,Other,,,Ridden horse
2017,42,1,1,Driver,Male,17-24,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,42,1,2,Vehicle passenger - front,Female,17-24,Slightly injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,42,1,3,Vehicle passenger - rear,Female,17-24,Slightly injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,42,3,4,Driver,Male,55-64,Slightly injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,42,3,5,Vehicle passenger - front,Female,55-64,Seriously injured,Not a pedestrian,Not a pedestrian,Other,Not a bus or coach passenger,,Car
2017,43,1,1,Driver,Female,25-34,Slightly injured,,,Other,,,Car
2017,43,1,2,Vehicle passenger - front,Female,45-54,Slightly injured,,,Other,,,Car
2017,43,1,3,Vehicle passenger - rear,Female,10-16,Slightly injured,,,Other,,,Car
2017,43,1,4,Vehicle passenger - rear,Female,Under 10,Slightly injured,,,Other,,,Car
2017,43,1,5,Vehicle passenger - rear,Male,Under 10,Slightly injured,,,Other,,,Car
2017,44,1,1,Driver,Male,25-34,Slightly injured,,,Other,,,Car
2017,44,3,2,Driver,Female,17-24,Slightly injured,,,Other,,,Goods 3.5 tonnes or less
2017,45,1,1,Driver,Male,17-24,Slightly injured,,,Other,,,Car
2017,46,1,1,Driver,Female,45-54,Slightly injured,,,Other,,,Car
2017,47,0,1,Pedestrian,Female,45-54,Slightly injured,,,Other,,,
